DatasetName,DataType,PPCFState,SolutionName,CompetingTime,TotalTaskSize,TotalWorkerSize,TotalUnServedTaskSize,TotalAllocatedWorkerSize,TotalUtility,TotalWinnerUtility,TotalFailureUtility,RealTravelDistance,ProposalSize,TaskValue,WorkerRange
ChengduDiDi,0,false,GamePrivacySolution,2324,1286,2572,0,1286,24873.631854050742,25047.533854050744,-173.9020000000001,4701.2660418487885,0,20.0,30.0
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,827,1286,2572,0,1286,25324.37403120872,25324.37403120872,0.0,3956.259687912799,2147483647,20.0,30.0
ChengduDiDi,0,false,DistanceConflictNonPrivacySolution,754,1286,2572,0,1286,25324.37403120872,25324.37403120872,0.0,3956.259687912799,2147483647,20.0,30.0
ChengduDiDi,0,false,GameNonPrivacySolution,448,1286,2572,0,1286,25347.53325813743,25347.53325813743,0.0,3724.6674186252562,0,20.0,30.0
ChengduDiDi,0,false,GreedyNonPrivacySolution,2,1286,2572,0,1286,25355.942997652113,25355.942997652113,0.0,3640.5700234790065,0,20.0,30.0
ChengduDiDi,0,false,UtilityConflictPrivacySolution,5161,1286,2572,0,1286,31172.132092963144,31174.276092963144,-2.144000000000002,5947.259070368637,2147483647,25.0,30.0
ChengduDiDi,0,true,UtilityConflictPrivacySolution,5388,1286,2572,0,1286,31172.846762425637,31174.294762425638,-1.4480000000000004,5945.15237574374,2147483647,25.0,30.0
ChengduDiDi,0,false,DistanceConflictPrivacySolution,5766,1286,2572,0,1286,30993.605647321365,31014.745647321364,-21.140000000000004,5673.8635267866175,2147483647,25.0,30.0
ChengduDiDi,0,true,DistanceConflictPrivacySolution,5280,1286,2572,0,1286,31025.041947967908,31031.233947967907,-6.192000000000007,5678.140520321193,2147483647,25.0,30.0
ChengduDiDi,0,false,GamePrivacySolution,3168,1286,2572,0,1286,31303.631854050764,31477.533854050766,-173.9020000000001,4701.2660418487885,0,25.0,30.0
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,786,1286,2572,0,1286,31754.374031208743,31754.374031208743,0.0,3956.259687912799,2147483647,25.0,30.0
ChengduDiDi,0,false,DistanceConflictNonPrivacySolution,781,1286,2572,0,1286,31754.374031208743,31754.374031208743,0.0,3956.259687912799,2147483647,25.0,30.0
ChengduDiDi,0,false,GameNonPrivacySolution,379,1286,2572,0,1286,31777.533258137453,31777.533258137453,0.0,3724.6674186252562,0,25.0,30.0
ChengduDiDi,0,false,GreedyNonPrivacySolution,3,1286,2572,0,1286,31785.9429976521,31785.9429976521,0.0,3640.5700234790065,0,25.0,30.0
ChengduDiDi,0,false,UtilityConflictPrivacySolution,5142,1286,2572,0,1286,37602.13209296312,37604.27609296312,-2.144000000000002,5947.259070368637,2147483647,30.0,30.0
ChengduDiDi,0,true,UtilityConflictPrivacySolution,4623,1286,2572,0,1286,37602.846762425615,37604.29476242561,-1.4480000000000004,5945.15237574374,2147483647,30.0,30.0
ChengduDiDi,0,false,DistanceConflictPrivacySolution,4904,1286,2572,0,1286,37423.605647321376,37444.745647321375,-21.140000000000004,5673.8635267866175,2147483647,30.0,30.0
ChengduDiDi,0,true,DistanceConflictPrivacySolution,5227,1286,2572,0,1286,37455.04194796792,37461.23394796792,-6.192000000000007,5678.140520321193,2147483647,30.0,30.0
ChengduDiDi,0,false,GamePrivacySolution,2313,1286,2572,0,1286,37733.63185405079,37907.533854050795,-173.9020000000001,4701.2660418487885,0,30.0,30.0
